# Vera source catalog — brick=1877p122 band=r
# Author: MaxKweeger | Software: vera / Claude Sonnet (Anthropic)
# Target journal: Journal of Open Source Software (joss.theoj.org)
ra,dec,x_image,y_image,flux_iso,flux_auto,a_image,b_image,theta,ellip,kron_rad,npix,flags
187.7679451,12.2795111,2216.5284,2204.9963,355.825348,503.169006,9.791,0.500,0.01,0.9489,3.500,145,0
187.8875793,12.2698106,572.6992,2071.7071,239.392395,501.793823,9.336,0.618,-0.11,0.9338,3.500,174,0
187.9257401,12.1563714,48.3525,513.0003,461.475433,499.404205,3.812,0.500,0.00,0.8688,3.500,105,0
187.7752234,12.2795114,2116.5201,2204.9997,351.897552,496.120148,9.804,0.500,-0.00,0.9490,3.500,166,0
187.8284640,12.2249276,1384.9699,1454.9940,303.364105,492.308502,8.367,0.500,0.00,0.9402,3.500,146,0
187.8357396,12.2249277,1285.0001,1454.9946,298.824432,487.039124,8.376,0.500,0.01,0.9403,3.500,150,0
187.9240551,12.2698214,71.5051,2071.8554,308.062714,484.879730,7.584,0.507,0.16,0.9331,3.500,153,0
187.8430178,12.2249276,1184.9946,1454.9943,302.372223,471.824127,8.360,0.500,0.00,0.9402,3.500,143,0
187.9095148,12.2698179,271.2956,2071.8071,270.531281,471.005829,8.019,0.552,0.08,0.9312,3.500,151,0
187.9020922,12.2698157,373.2853,2071.7774,256.801880,467.996246,8.448,0.564,-0.18,0.9332,3.500,158,0
187.7274838,12.2697538,2772.4851,2070.9264,285.260925,467.752502,7.596,0.500,-0.01,0.9342,3.500,135,0
187.9166082,12.2698201,173.8294,2071.8367,281.400940,464.874390,7.484,0.511,-0.27,0.9317,3.500,141,0
187.7001279,12.1562987,3148.3672,512.0015,432.262054,464.782898,3.823,0.500,-0.01,0.8692,3.500,109,0
187.7709838,12.2697550,2174.7750,2070.9434,292.761627,464.620819,7.870,0.500,0.01,0.9365,3.500,143,0
187.8020420,12.2247827,1748.0204,1453.0021,259.453033,463.383148,7.233,0.500,-0.01,0.9309,3.500,126,0
187.8339566,12.1275514,1309.4994,116.9999,220.776947,459.812988,5.732,0.500,0.00,0.9128,3.500,56,0
187.7825038,12.2795107,2016.4846,2204.9908,356.686951,457.585083,9.802,0.500,-0.02,0.9490,3.500,146,0
187.8803172,12.2698098,672.4841,2071.6964,217.325104,457.290588,8.556,0.605,-0.10,0.9292,3.500,138,0
187.6691752,12.2697505,3573.6712,2070.8815,317.272552,455.772217,6.661,0.500,-0.24,0.9249,3.500,133,0
187.8948992,12.2698154,472.1209,2071.7725,232.090775,447.983673,7.830,0.555,-0.09,0.9292,3.500,125,0
187.7200705,12.2697526,2874.3472,2070.9092,271.340027,445.447144,7.731,0.500,-0.03,0.9353,3.500,141,0
187.9184500,12.1563715,148.5217,513.0010,401.405487,434.918640,3.887,0.500,0.01,0.8714,3.500,101,0
187.7947656,12.2247826,1848.0017,1453.0015,258.560547,428.973969,7.230,0.500,0.00,0.9308,3.500,127,0
187.7926847,12.2697571,1876.5937,2070.9719,275.532715,416.654907,3.915,0.500,0.09,0.8723,3.500,74,0
187.8730781,12.2698075,771.9528,2071.6636,187.138367,410.569061,7.462,0.573,-0.10,0.9233,3.500,102,0
187.7064593,12.2624880,3061.3714,1971.0913,44.715900,395.863556,90.567,1.743,-0.03,0.9808,3.500,1660,0
187.7782452,12.2697555,2075.0000,2070.9491,232.474609,394.971161,6.138,0.500,0.02,0.9185,3.500,109,0
187.7607766,12.2795114,2315.0263,2205.0003,322.421936,393.259064,8.939,0.500,0.01,0.9441,3.500,153,0
187.7874864,12.2247826,1948.0219,1453.0017,259.841370,392.458954,7.232,0.500,0.00,0.9309,3.500,126,0
187.8220417,12.2697514,1473.2158,2070.8928,155.607681,390.707611,10.890,0.500,0.07,0.9541,3.500,203,0
187.7859499,12.2769019,1969.1337,2169.1438,132.716751,389.344940,11.088,0.529,-0.23,0.9523,3.500,185,0
187.9248568,12.2770195,60.4885,2170.7609,97.989998,377.286346,27.938,1.309,-0.69,0.9531,3.500,604,1
187.8922362,12.2251111,508.7110,1457.5156,280.109711,368.671021,8.092,0.859,5.13,0.8938,3.500,151,0
187.8994780,12.2251188,409.2057,1457.6207,272.604736,362.145752,7.891,0.824,4.45,0.8955,3.500,143,0
187.8074692,12.2697537,1673.4484,2070.9242,199.327667,356.343506,8.408,0.500,0.19,0.9405,3.500,145,0
187.7073883,12.1562987,3048.6053,512.0016,326.399689,353.146759,3.899,0.500,-0.03,0.8718,3.500,101,0
187.8482215,12.2724517,1113.4934,2107.9962,291.739258,350.470154,8.105,0.500,0.02,0.9383,3.500,147,0
187.8555382,12.2724520,1012.9584,2108.0003,281.362671,342.191925,7.838,0.500,0.09,0.9362,3.500,150,0
187.8292651,12.2697519,1373.9627,2070.9003,137.190796,341.549286,10.621,0.500,0.02,0.9529,3.500,176,0
187.6763704,12.2769155,3474.8054,2169.3311,71.727394,338.869629,15.460,0.895,1.32,0.9421,3.500,263,0
187.8498598,12.2249536,1090.9819,1455.3510,233.192886,336.345367,6.794,0.809,4.92,0.8810,3.500,128,0
